BEA									
DEPARTEMENT FINANCE ET COMPTABILITE									
									
TABLEAU D'AMORTISSEMENT AAI									
		30/06/2026							
COMPTE N°: 142010  Compte Amort: 148211									
			Valeur		 AmtCumulés	Dotation	Montant Amt	Valeur Net	AGENCE 
Date 	Qté	Désignation	d'Acquisition MRU	Taux	 Fin Exr.2025	Exer. En. C	Fin Exercice 2026	Comptable	
		REPORT 2003	 5 606 827,70   	10%	 5 606 827,70   		 5 606 827,70   	 -     	
02/01/07		Construction d'une chambre forte NDB	 106 000,00   	10%	 106 000,00   		 106 000,00   	 -     	
24/01/07		Regl 50% Constructionchambre forte	 40 000,00   	10%	 40 000,00   		 40 000,00   	 -     	
09/02/07		Regl ECTD	 82 500,00   	10%	 82 500,00   		 82 500,00   	 -     	
31/12/07		S/T	 5 835 327,70   	 0,40   	 5 835 327,70   	 -     	 5 835 327,70   	 -     	 -     
									
01/01/08		S/T	 5 835 327,70   		 5 835 327,70   	 -     	 5 835 327,70   	 -     	
29/09/08		Agencement Agence Teintane	 91 600,00   	10%	 91 600,00   		 91 600,00   	 -     	
15/01/08		Racordement ligne GIMTEL	 186 815,00   	10%	 186 815,00   		 186 815,00   	 -     	
20/05/08		Avance Acquisition Solution Monétiqueencement Agence Teintane	 413 076,00   	10%	 413 076,00   		 413 076,00   	 -     	
15/10/08		Regl 20% Facture J.Ware	 435 480,00   	10%	 435 480,00   		 435 480,00   	 -     	
31/12/08		Solde au 31/12/08	 6 962 298,70   	 0,40   	 6 962 298,70   	 -     	 6 962 298,70   	 -     	 -     
									
01/01/09		Solde au 01/01/09	 6 962 298,70   		 6 962 298,70   	 -     	 6 962 298,70   	 -     	
24/02/09	 1   	Climatiseur Split 15000 BTU 1,8 CV	 25 500,00   	10%	 25 500,00   		 25 500,00   	 -     	
19/03/09	 1   	Réseau Wifi Internet	 30 900,00   	10%	 30 900,00   		 30 900,00   	 -     	
